pola;arti;文型;desc1;desc2;desc3;contohJP1;contohID1;contohJP2;contohID2;contohJP3;contohID3;第～週;～日目;Hari ke-;
～ように (supaya);supaya... / agar...;K. Kerja ～る / K. Kerja ～ない / K. Kerja ～れる ように;sering digunakan dengan kata kerja potensial;dan kata kerja yang menyatakan keadaan (bukan keinginan);keadaan seperti itulah yang diinginkan oleh pembicara;忘れないように、手帳に書いておこう。;supaya tidak lupa, tulis di buku agenda dulu;みんなに聞こえるようにもっと大きな声で話してください。;supaya terdengar oleh semua, tolong bicara dengan suara lebih besar;;;1;4;4;
～ために;demi / untuk...;K. Kerja ～る / K. Benda の ために;untuk mewujudkan cita-cita, tujuan & sebuah keinginan yang kuat;biasanya dengan kata kerja yang mengandung maksud, niat & keinginan (bukan keadaan);;家を買うために貯金をしている。;saya menabung demi (untuk) beli rumah;働くために学校をやめた。;saya berhenti sekolah untuk bekerja;;;1;4;4;
～ように (seperti yang);seperti (yang)...;K. Kerja (biasa) / K. benda の ように;sering digunakan dalam kalimat pembuka;;;皆様ご存じのように、試験の内容が変わります。;seperti yang semua ketahui, isi (materi) ujiannya akan berubah;ここに書いてあるように、今度の木曜日、授業は午前中だけです。;seperti yang tertulis di sini, kelas/kuliah kamis depan hanya pagi saja;前にお話したように、来年から授業料が値上がりました。;seperti yang saya bicarakan sebelumnya, mulai tahun depan biaya kelas/kuliahnya naik;1;5;5;
～ように (mohon agar);mohon agar;K. Kerja ～る / K. Kerja ～ない ように;mengungkapkan sebuah perintah yang ringan;;;明日はもっと早く来るように。;mohon agar besok datang lebih cepat;ここで、たばこを吸わないように。;mohon agar tidak merokok disini;遅れる場合は連絡するように。;apabila terlambat, mohon agar menghubungi;1;5;5;
～ように (mudah-mudahan);mudah-mudahan;K. Kerja ～ます / K. Kerja ～ません / K. Kerja ～れます ように;mengungkapkan sebuah doa & harapan;;;合格しますように。;mudah-mudahan saya bisa lulus;母の病気が治りますように。;mudah-mudahan penyakit ibu sembuh;インフルエンザにかかりませんように。;mudah-mudahan tidak terkena influenza;1;5;5;
～ようと思う;bermaksud ingin...;K. Kerja ～よう / K. Kerja ～まい ようと思う;mengungkapkan niat atau rencana yang didasarkan atas keinginan sendiri;;;会社をやめようと思っている。;saya bermaksud ingin berhenti dari kantor;来年、国に帰ろうと思っています。;tahun depan saya bermaksud ingin pulang ke negara;;;1;6;6;
～ようとする;(pas) mau..., akan...;K. Kerja ～よう ようとする;ketika subjek atau pembicara mempunyai keinginan atau niat akan melakukan suatu hal;;;あ、ポチが、あなたの靴をかもうとしているよ。;eh si pochi mau gigit sepatu kamu;電車に乗ろうとしたときに、ドアが閉まって乗れなかった。;pas ketika saya mau naik kereta, pintunya tertutup, jadi saya tidak bisa naik;ポチはぼくが出かけようとすると、ほえる。;di saat saya mau keluar, pochi selalu menggonggong;1;6;6;
～ようとしない;tidak mau, tidak ada niat;K. Kerja ～よう ようとしない;bentuk negatif dari ～ようとする;;;ポチ、どうしたんだろう。ご飯を食べようとしないんだよ。;pochi kenapa yah? kok dia tidak mau makan;彼は、自分のことは何も言おうとしない。;dia tidak mau mengatakan apa-apa tentang dirinya;;;1;6;6;
～ばかり;melulu / terus-terusan;K. Benda だ / K. Kerja ～て → ばかり / K. Kerja ～てばかりいる;mengungkapkan sesuatu yang hanya itu-itu saja;;;この店のお客さんは女性ばかりです。;customer toko ini perempuan melulu (yang datang perempuan terus);弟は、テレビを見てばかりいる。;adik saya nonton tv melulu (nonton tv terus-terusan);息子は仕事もしないで遊んでばかりいる。;anak saya bermain terus, tidak mau bekerja;2;1;7;
～だけしか;hanya... saja;K. Benda だけしか K. Kerja ない;untuk memberi penekanan pada kata "hanya";;;このコンサートは、会員だけしか入れません。;konser ini hanya bisa dimasuki (ditonton) oleh member saja;今日はお客様が一人だけしか来ませんでした。;hari ini customer yang datang hanya satu orang saja;;;2;1;7;
