pola;arti;文型;desc1;desc2;desc3;contohJP1;contohID1;contohJP2;contohID2;contohJP3;contohID3;第～週;～日目;Hari ke-;
～まま;dalam keadaan;K. Kerja ～た / K. Kerja ～ない / K. Sifat-i (biasa) / K. Sifat-na な / K. Benda の まま;menunjukkan hal yang sama (keadaan) terjadi secara berkelanjutan;;;昨夜は、テレビをつけたまま寝てしまった。;semalam saya tertidur dalam keadaan TV menyala;この野菜は、生のままで食べてもおいしいですよ。;sayuran ini meskipun dimakan dalam keadaan mentah, (tetap) enak lho;友達に本を借りたまま、まだ返していません。;saya (dalam keadaan) meminjam buku dari teman, dan belum mengembalikannya;3;5;17;
～っぱなし;membiarkan, terus-menerus;K. Kerja ます → っぱなし;sering untuk hal yang bersifat negatif (yang tidak seharusnya dilakukan); biasanya mengandung perasaan kecewa, tidak puas;;;窓を開けっぱなしで出てきた。;saya keluar dalam keadaan jendela terbuka;水を出しっぱなしにしないでください。;jangan biarkan airnya keluar terus (air keran);さっきからずっと立ちっぱなしだけど、座らなくて大丈夫?;dari tadi kamus berdiri terus, tidak duduk tidak apa-apa?!;3;5;17;
～きり;hanya;K. Benda きり / きりだ / っきり / っきりだ;menunjukkan bahwa hal tersebut sedikit;;;二人(っ)きりで話をしたいです。;saya ingin berbicara berdua saja;彼に会ったのは1回(っ)きりです。;saya bertemu dengan dia hanya sekali;一度きりの人生をどう生きるかは個人の自由だ。;hidup yang hanya sekali ini, bagaimana menjalaninya merupakan kebebasan individu;3;5;17;
～がる;(orang ke-3) merasa/ingin...;K. Kerja ～たい / K. Sifat-i い がる / がって / がらないで ※K. Sifat-na, K. Benda ×;untuk menyatakan keinginan orang ke-3; untuk menyatakan perasaan (kata sifat) yang ditunjukkan dalam sebuah perbuatan;;;田中さんが、あなたに会いたがっていましたよ。;tanaka-san ingin bertemu denganmu lho;息子が全然学校に行きたがらないんです。;anak laki-laki saya sama sekali tidak mau pergi ke sekolah;息子はきのうから新しいおもちゃを買いたがっています。;anak laki-laki saya dari kemarin ingin beli mainan baru;3;6;18;
～てほしい;saya ingin (kamu)...;K. Kerja ～て / K. Kerja ～ないで ほしい / もらいたい;digunakan ketika pembicara ingin agar orang lain melakukan sesuatu untuknya;;;あのう、教科書を見せてほしいんですが;saya ingin kamu perlihatkan buku pelajaran (untuk saya);あなたに教えてもらいたいことがあります。;ada hal yang saya ingin (agar) kamu beri tahu ke saya;君に見てほしい写真を持っています。;saya membawa foto yang saya ingin agar kamu melihatnya;3;6;18;
～ふりをする;pura-pura...;K. Kerja (biasa) / K. Sifat-i (biasa) / K. Sifat-na な / K. Benda の ふりをする;digunakan untuk menyatakan bahwa seseorang berpura-pura;;;彼はそのことについて知っているふりをしているが、本当は知らないと思う。;dia pura-pura tahu tentang hal itu, padahal menurut saya sebenarnya dia tidak tahu;田中さんは独身のふりをしているが、結婚していて3人も子どもがいる。;tanaka-san pura-pura belum nikah, tapi (sebenarnya) dia sudah nikah dan mempunyai 3 anak;;3;6;18;
～にとって;bagi..., buat...;K. Benda にとって / にとっては / にとっても;menyatakan sudut pandang atau penilaian seseorang/sesuatu terhadap hal tertentu;;;あなたにとって、いちばん大切なものは何ですか。;bagi kamu, apa hal yang paling penting?;このあたりの人々にとっては、車は必需品です。;bagi orang-orang di sekitar sini, mobil adalah barang/benda wajib;私にとって、漢字の勉強はとても楽しい。;bagi saya, belajar kanji itu menyenangkan;4;1;19;
～わりに;padahal (tidak sesuai dengan...);K. Kerja (biasa) / K. Sifat-i (biasa) / K. Sifat-na な / K. Benda の わりに / わりには;digunakan untuk sesuatu yang tidak sesuai dengan kenyataannya; mengungkapkan perbedaan yang mencolok antara kenyataan dengan apa yang dipikirkan;;;年のわりには若く見える。;padahal dia sudah tua, tapi terlihat muda (tidak sesuai dengan umur aslinya);お金がない(と言っている)わりに、よく買い物をするね。;padahal dia bilang tidak punya uang, tapi sering belanja;;4;1;19;
～くせに;padahal (untuk mengejek);K. Kerja (biasa) / K. Sifat-i (biasa) / K. Sifat-na な / K. Benda の くせに;umumnya digunakan untuk mengejek atau meremehkan orang lain; tidak sama dengan ～のに yang mengandung ketidakpuasan;;;知っているくせに、教えてくれない。;padahal tahu tapi tidak mau memberi tahu;元気なくせに、病気のふりをしている。;padahal sehat, tapi pura-pura sakit;斎藤さんは日本人のくせに、日本語が変なんだよな。;padahal sato-san orang jepang, tapi bahasa jepang nya aneh;4;1;19;
～なんか/なんて/など;(1) untuk memberikan contoh (2) meremehkan/menyepelekan (3) merendahkan diri;K. Kerja ～て / K. Sifat-i ～く なんか/なんて/など / K. Sifat-na で ※ KK/KS/KB (biasa) atau Kalimat なんて/など;(1) memberikan contoh tidak terbatas, (2) meremehkan/menyepelekan, (3) merendahkan diri sendiri;;;お化粧なんかしてはいけません。;tidak boleh memakai make-up segala;A:「泣いてるの?」 B:「泣いてなんかいないよ!」;A: kamu nangis?? B: enggak lah! ngapain nangis!;日本語でスピーチなどできません。;saya tidak bisa berpidato dalam bahasa Jepang;4;1;19;
～おかげで;berkat...;K. Kerja (biasa) / K. Sifat-i (biasa) / K. Sifat-na な / K. Benda の おかげで / おかげだ;digunakan untuk menyatakan hasil yang baik (positif) dari suatu hal/seseorang yang menjadi penyebab;;;先生のおかげで合格できました。;atas berkat guru saya bisa lulus;日本へ来たおかげで、日本語が上手になった。;berkat datang ke Jepang, saya jadi pandai berbahasa Jepang;薬を飲んだおかげで、すっかり元気になりました。;berkat minum obat, saya jadi benar-benar sehat;4;2;20;
～せい;gara-gara...;K. Kerja (biasa) / K. Sifat-i (biasa) / K. Sifat-na な / K. Benda の せいだ / せいで / せいか;digunakan ketika penyebab tidak begitu jelas, bisa menggunakan ～せいか;;;バスが遅れたせいで、約束の時間に間に合わなかった。;gara-gara bus nya telat, saya tidak keburu waktu janjian;疲れたせいか、頭が痛い。;entah karena kelelahan, kepala saya sakit;彼のせいで、この会社は倒産しそうだ。;gara-gara dia, perusahaan hampir mau bangkrut;4;2;20;
～かわりに;sebagai pengganti...;K. Kerja (biasa) / K. Sifat-i (biasa) / K. Sifat-na な / K. Benda の かわりに ※そのかわり(に) (kata penghubung);dapat menggantikan subjek, predikat & objek;;;車で来たので、ビールのかわりにジュースをください。;karena saya datang dengan mobil, sebagai pengganti bir, saya minta jus saja;日曜日に働いたかわりに、今日休みを取りました。;sebagai pengganti kerja di hari minggu, hari ini saya mengambil libur;;4;2;20;
～にかわって;sebagai pengganti... (subjek/pelaku);K. Benda にかわって / にかわり;hanya dapat menggantikan subjek atau pelaku (tidak bisa menggantikan objek & predikat);;;出張中の部長にかわって、私がごあいさつさせていただきます。;sebagai pengganti manajer yang sedang dinas, saya akan memberikan sambutan;野球にかわり、サッカーが盛んになってきた。;sebagai pengganti baseball, sepak bola sangat digemari;;4;2;20;
～くらい/ほど;kira-kira (derajat/tingkatan);K. Kerja ～る / K. Sifat-i ～い / K. Sifat-na な / K. Benda だ くらい/ぐらい/ほど;menunjukkan derajat atau tingkatan suatu tindakan & keadaan dengan suatu contoh; ほど → formal, くらい → kasual;;;それは米粒くらいの大きさです。;itu besarnya kira-kira sebutir beras;この洗剤は、おもしろいほど汚れが落ちる。;deterjen ini (mampu) membersihkan kotoran dengan (sangat) menarik;宿題が多すぎて、泣きたいくらいだ。;PR nya banyak banget, sampai pengen nangis rasanya;4;3;21;
～ば～ほど;semakin... semakin...;KK ～ば / KS-i ～ければ / KS-na ～ならば + KK ～るほど / KS-i ～いほど / KS-na ～なほど ※KS-na ～であれば KS-na ～であるほど;menunjukkan semakin meningkat kondisi, semakin meningkat pula kondisi lainnya;;;彼のことを知れば知るほど好きになる。;semakin kenal dia saya jadi semakin suka;荷物は少なければ少ないほどいい。;barang (bawaan) itu semakin sedikit semakin baik;試験は簡単ならば簡単なほど嬉しい。;ujian itu semakin mudah (saya) semakin senang;4;3;21;
～くらい/ほど～はない;tidak ada yang se...;K. Benda くらい / ほど + KB[人] はいない / KB[物・事] はない;menyatakan bahwa sesuatu/seseorang paling... (superlative);;;彼女くらい親切な人はいない。;tidak ada orang yang seramah dia;今年ほど雪の降った年はなかった。;tidak ada tahun yang saljunya turun sebanyak tahun ini;ゲームをすることほど楽しいことは他にないね。;tidak ada hal menyenangkan seperti bermain game;4;3;21;
～ことはない;tidak perlu...;K. Kerja ～る ことはない / ことはありません;menyatakan bahwa tidak perlu melakukan sesuatu;;;君があやまることはないよ。;kamu tidak perlu meminta maaf;来ることはありません。郵送でいいですよ。;kamu tidak perlu datang, kirim via pos saja;急ぐことはない。ゆっくりでいいよ。;tidak perlu buru-buru. pelan-pelan saja;4;4;22;
～ということだ;katanya, artinya;K. Kerja (biasa) / K. Sifat-i (biasa) / K. Sifat-na だ / K. Benda だ ということだ ※ K. Kerja bentuk "perintah"/"maksud" dll juga bisa;digunakan untuk menyampaikan pesan (formal) & mendefinisikan "arti" suatu hal;;;田中さんから電話があって、少し遅れるということです。;ada telepon dari tanaka-san, katanya (dia) sedikit terlambat;試験の結果は70%、つまり合格ということだ。;hasil ujiannya 70%, dengan kata lain (kamu) lulus;;4;4;22;
～ことだ;sebaiknya...;K. Kerja ～る / K. Kerja ～ない ことだ;digunakan untuk memberikan nasehat, saran (termasuk juga peringatan); biasanya tidak digunakan kepada orang yang posisinya di atas;;;暖かくして、ゆっくり休むことだ。;sebaiknya kamu menghangatkan diri dan istirahat;無理をしないことです。;sebaiknya kamu tidak memaksakan diri;健康が心配なら、もっと野菜を食べることだね。;kalau khawatir dengan kesehatan, sebaiknya makan sayur lebih banyak lagi;4;4;22;
KATA TANYA ～ことか;betapa... (sangat);どんなに/どれほど/どれだけ/何度/何時間 + KK る/た/KS-i い/かった/KS-na な/だった ことか;digunakan untuk menekankan perasaan ketika pembicara "merasa sangat....";;;合格できたら、どんなにうれしいことか。;kalau bisa lulus saya akan sangat senang (tidak terbayang betapa senangnya saya);何度注意したことか。;berkali-kali saya sudah peringatkan (betapa seringnya saya peringatkan dia);;4;4;22;
～っけ？;...ya?/kan? (konfirmasi, lupa);K. Kerja ～たっけ / K. Sifat-i ～かったっけ / K. Sifat-na だっけ/だったっけ / K. Benda だっけ/だったっけ ※ ～でしたっけ/～ましたっけ juga bisa;digunakan untuk mengkonfirmasi sesuatu ketika pembicara lupa akan suatu hal; bisa juga ketika pembicara berbicara kepada dirinya sendiri;;;国へ帰るのは、来週だ(った)っけ?;kamu pulang ke negara minggu depan yah?! (kalau gak salah);明日のパーティーのこと、話し(まし)たっけ?;mengenai pesta besok, saya sudah info ke kamu belum sih?! (lupa-lupa ingat);;4;5;23;
～しかない;tidak ada pilihan lain kecuali...;K. Kerja るしかない;digunakan untuk mengungkapkan perasaan pasrah (tidak ada cara/jalan/pilihan lain);;;できるまで、やるしかない。;tidak ada pilihan lain, kecuali melakukannya sampai bisa;直せないから、新しいのを買うしかなかった。;karena tidak bisa diperbaiki, tidak ada pilihan lain kecuali beli yang baru;終電を逃しちゃったから、タクシーで帰るしかないね。;karena saya melewatkan kereta terakhir, jadi tidak ada cara lain kecuali naik taksi;4;5;23;
～んだって;katanya (bahasa lisan);K. Kerja (biasa) / K. Sifat-i (biasa) / K. Sifat-na な / K. Benda な (んだ)って ※ bisa juga ～までだって/～からだって/～だけだって ※ perempuan sering menggunakan bentuk ～ですって;umumnya hanya digunakan dalam bahasa lisan;;;A:「田中さん、結婚してるんだって。」;katanya tanaka-san sudah menikah;試験の範囲は、教科書の最初から50ページまでだって。;batas materi yang keluar di ujian adalah buku pelajaran dari awal sampai halaman 50;;4;5;23;
～だもん;soalnya... (bahasa santai);K. Kerja (biasa) / K. Sifat-i (biasa) / K. Sifat-na な / K. Benda な (んだ)もん ※ bisa digunakan dengan だって…～(んだ)もん;bahasa santai yang sering digunakan oleh anak kecil (tapi orang dewasa juga bisa pakai);;;A:「どうして食べないの?」 B:「だって、まずいんだもん。」;A: kenapa kamu tidak makan?! B: soalnya gak enak (habis rasanya gak enak sih!);今日の試験、できなかった。勉強しなかったんだもん。;ujian hari ini saya tidak bisa... soalnya saya tidak belajar...;A「お菓子の食べすぎよ。」 B「だって、おいしいんだもん。」;A: kamu jangan banyak-banyak makan jajan B: ya soalnya rasanya enak sih;4;5;23;
つまり;dengan kata lain, maksudnya;(kata penghubung);menjelaskan sesuatu dengan kata-kata atau cara penyampaian yang lain; bisa juga untuk menyimpulkan suatu hal;;;父の兄、つまり私の伯父は、医者をしている。;kakak ayah saya, maksudnya paman saya adalah seorang dokter;明日から会社に来なくていいと言われた。つまりクビということだ。;besok saya dibilang tidak perlu datang ke kantor. dengan kata lain saya dipecat;彼は何も知らされていない。つまり、すべての責任は私にある。;dia tidak diberitahu apa-apa. maksudnya semua tanggung jawab ada di saya;4;6;24;
そのため(に);oleh karena itu;(kata penghubung);kata penghubung yang digunakan untuk menjelaskan suatu alasan; lebih formal daripada 「だから」;;;隣の駅で事故があったらしい。そのために電車が遅れている。;di stasiun sebelah katanya terjadi kecelakaan. makanya keretanya telat;留学するつもりだ。そのために、バイトしてお金をためている。;saya punya maksud untuk belajar di luar negeri. oleh karena itu saya kerja part time mengumpulkan uang;今日は大雪が降っています。そのために試合は中止になりました。;hari ini salju lebat turun. oleh karena itu pertandingan dibatalkan;4;6;24;
その結果;hasilnya...;(kata penghubung);bisa digunakan untuk menjelaskan sebab-akibat;;;父は、人の何倍も努力した。その結果、仕事で成功した。;ayah saya berusaha keras lebih dari orang lain. hasilnya dia sukses dalam hal pekerjaan;3ヵ月ダイエットを続けた。その結果、5キロやせた。;3 bulan saya diet terus. hasilnya saya turun 5 kilo;ほとんど勉強しなかった。その結果、入学試験に落ちてしまった。;saya hampir tidak belajar sama sekali. hasilnya saya gagal lolos ujian masuk sekolah;4;6;24;
なぜなら(ば);mengapa begitu (penjelasan alasan);なぜなら(ば)～から / ※なぜかというと / どうしてかというと;kata penghubung untuk menjelaskan alasan di kalimat sebelumnya; sering digunakan bersama dengan 「～から」;;;来週、国に帰る予定です。なぜなら(ば)、親友の結婚式に出席するからです。;minggu depan rencananya saya akan pulang ke negara. kenapa saya pulang, karena saya mau menghadiri upacara pernikahan sahabat;学校を変えた。なぜかというと、ぼくのレベルのクラスがなかったから。;saya pindah sekolah. kenapa pindah, karena tidak ada kelas yang tersedia di level saya;;4;6;24;
～はもちろん;tentu saja, sudah pasti;K. Benda はもちろん KB も / [文] のはもちろん～(も);digunakan untuk menyatakan bahwa "A sudah tentu, B pun juga";;;彼は、勉強はもちろん、スポーツもよくできる。;dia kalau belajar tentunya bisa, (tapi tidak hanya itu) olahraga pun dia juga bisa;キャベツは炒めて食べるのはもちろん、生で食べてもおいしいです。;kol itu kalau ditumis dulu lalu dimakan tentunya bisa, (tapi tidak hanya itu) dimakan mentah pun enak;;5;1;25;
～ばかりか;jangankan..., tidak hanya...tapi juga;K. Kerja (biasa) / K. Sifat-i (biasa) / K. Sifat-na な / K. Benda だ ばかりか/ばかりでなく...も;kalimat setelahnya sering menggunakan 「～も」、「～さえ」、「～まで」;;;サントスさんは日本語ばかりか、中国語もペラペラだ。;santos-san tidak hanya bahasa jepang, bahasa china pun dia lancar;あの店は味が悪いばかりか、店員の態度もひどい。;toko ini jangankan rasanya yang tidak enak, sikap pegawainnya pun buruk;私は、漢字ばかりか、まだひらがなも書けません。;jangankan kanji, hiragana pun saya tidak bisa menulis;5;1;25;
～に比べて;dibandingkan...;K. Benda に / Kalimat ～のに [比べて/比べ] ※それに比べて (kata penghubung);digunakan dalam kalimat perbandingan & mempunyai fungsi yang sama seperti 「より」;;;試験の問題は昨年に比べて易しくなった。;soal ujiannya dibandingkan tahun lalu lebih mudah;店で買うのに比べ、通信販売は便利だが、欠点もある。;dibandingkan beli di toko, (memang) lebih praktis beli via telepon, tapi ada kelemahannya juga;男性に比べて、女性の方が一般的に寿命が長いそうです。;dibandingkan laki-laki, secara umum katanya perempuan lebih mempunyai umur panjang;5;1;25;
～に対して;terhadap, berlawanan dengan;K. Benda に / Kalimat ～のに [対して/対し/対しては/対しても/対するKB] ※それに対して (kata penghubung);digunakan untuk menunjukkan "target/objek" dari suatu tindakan atau sikap; bisa juga menunjukkan kontras;;;田中先生は、生徒に対して厳しい。;tanaka-sensei orangnya tegas terhadap muridnya;まじめな長男に対して、次男は遊んでばかりで学校もよく休む。;berlawanan dengan putra sulung yang giat, anak kedua sukanya main terus dan sering tidak masuk sekolah;;5;1;25;
～上げる;selesai (menyelesaikan);K. Kerja ます [上がる/上げる];untuk menyatakan bahwa hal yang dilakukan tersebut telah selesai;;;やっとレポートを書き上げた。;akhirnya saya selesai menulis laporan;ケーキが焼き上がりましたよ。;kue nya sudah matang (selesai dipanggang);出来上がった料理を運ぶのが私の仕事です。;mengangkat masakan yang sudah selesai (dimasak) adalah pekerjaan saya;5;2;26;
～切る;habis (sampai selesai semua);K. Kerja ます [切る/切れる/切れない];menyatakan bahwa semua sudah... (sampai selesai, habis);;;ご飯の量が多くて、食べ切れないよ。;nasinya banyak, saya tidak bisa menghabiskannya;長い小説を、2日間で読み切った。;novel yang panjang saya baca semua dalam 2 hari;疲れ切ったようす。;dalam keadaan yang sangat lelah sekali;5;2;26;
～かけ;tidak selesai, hampir;K. Kerja ます [かける/かけのKB/かけだ];(1) menyatakan bahwa hal tersebut masih belum selesai (di tengah-tengah); (2) hampir mau...;;;この本はまだ読みかけだ。;buku ini masih belum selesai dibaca (baru dibaca sebagian);息子はやりかけの宿題をおいて、遊びに出かけてしまった。;anak saya meletakkan PR nya yang belum selesai, lalu pergi bermain keluar;おふろに入りかけたときに電話が鳴った。;ketika saya mau berendam, hp berdering;5;2;26;
～たて;baru saja di...;K. Kerja ます [たてのKB/たてだ];banyak digunakan dalam kalimat yang bernuansa positif (masih fresh, segar, hangat dll);;;焼きたてのパンはおいしい。;roti yang baru dipanggang itu enak;あのスーパーは、とりたての野菜を売っている。;supermarket ini menjual sayuran segar yang baru saja diambil (dari kebun);その天ぷらは揚げたてですから、おいしいですよ。;tempura itu baru saja digoreng, jadi masih enak;5;2;26;
～といいなあ;ingin, mudah-mudahan;KK/KS-i ～たら / KS-na/KB ～だったら / KK ～ば KS-i ～ければ / KS-na/KB ～なら(ば) (いいのに) なあ;digunakan untuk menyatakan sebuah keinginan & harapan;;;もっと日本語がうまく話せたらいいなあ。;saya ingin lebih pandai berbicara bahasa Jepang;明日、雨が降らないといいなあ。;besok mudah-mudahan tidak turun hujan;;5;3;27;
～ばよかった;coba... (menyesal);K. Kerja ～ば / ～なければ / ～たら / ～なかったら よかった;digunakan untuk menunjukkan adanya penyesalan;;;遅刻してしまった。もっと早く家を出ればよかった。;saya datang terlambat. coba tadi saya berangkat lebih cepat (pasti tidak telat);田中さんにあんなことを言わなければよかった。;coba saya tidak mengatakan hal seperti itu kepada tanaka-san;;5;3;27;
～ば～のに;coba... (sayang sekali);K. Kerja ば ～のに / K. Kerja たら ～のに;digunakan untuk menyatakan suatu hal yang disayangkan;;;昨日のパーティー、楽しかったよ。君も行けばよかったのに。;pesta kemarin menyenangkan lho! coba kalau kamu juga pergi (ikutan);もう少し安かったら買うのになあ。;coba kalau harganya murah sedikit, saya akan beli;あの時、頑張って彼女に好きって言えばよかったのに。;waktu itu coba saya berani (berusaha berani) bilang suka ke dia;5;3;27;
～かなあ;ingin, rasa ragu;K. Kerja る かな (あ) / K. Kerja ない かな (あ);(1) menyatakan keinginan, harapan; (2) menyatakan rasa ragu;;;バス、早く来ないかなあ。;bis nya cepetan dateng doong!;この実験、うまくいくかな。;percobaan ini bakal berjalan lancar gak yah;今日、富士山が見えるかなあ。;hari ini gunung fuji kelihatan gak yah;5;3;27;
～まで;sampai;K. Kerja る まで / K. Benda まで;menyatakan batas waktu atau kondisi "sampai...";;;映画が始まるまで30分あります。;sampai film nya main, masih ada waktu 30 menit;連絡があるまで待っています。;saya akan menunggu sampai ada kontak (kabar);この魚は骨まで食べられますよ。;ikan ini bisa dimakan sampai tulangnya;5;4;28;
～から～にかけて;dari... sampai;K. Benda (時/場所) ～から KB ～にかけて;digunakan untuk menunjukkan rentang waktu atau tempat;;;明日は昼から夕方にかけて雨でしょう。;besok dari siang sampai sore mungkin akan hujan;九州から本州にかけて梅雨入りしました。;dari honshu sampai kyushu sudah memasuki musim hujan;3月中旬から4月の終わりにかけて、桜が見られるでしょう。;dari pertengahan maret sampai akhir april, bisa melihat bunga sakura;5;4;28;
～において;di (formal);K. Benda ～において;mempunyai fungsi yang sama seperti partikel で; sering digunakan dalam bahasa tulis formal;;;大阪において、国際会議が行われた。;di osaka diadakan rapat internasional;結果はホームページにおいて発表されます。;hasinya akan diumumkan di website;人生において一番大切なことは何だと思いますか。;menurut kamu apa hal yang paling penting dalam hidup?;5;4;28;
たとえ～ても;meskipun misalnya;たとえ K. Kerja ～ても / K. Sifat-i ～くても / K. Sifat-na ～でも / K. Benda ～でも;digunakan untuk menyatakan "meskipun... tetap saja...";;;たとえ反対されても留学します。;meskipun misalnya tidak disetujui, saya tetap akan belajar di luar negeri;たとえ元気じゃなくても、家族への手紙には元気だと書きます。;meskipun misalnya sedang tidak sehat, di surat yang saya kirim untuk keluarga, saya tetap bilang "sehat";;5;5;29;
もしかすると～;jangan-jangan, mungkin;もしかすると / もしかしたら KK/KS-i (biasa) / KS-na/KB だ かもしれない;digunakan untuk menyatakan kemungkinan yang tidak pasti;;;もしかすると彼の話はうそかもしれない。;jangan-jangan cerita dia itu bohong;もしかしたら、明日行けないかもしれません。;bisa jadi besok saya mungkin tidak bisa pergi;;5;5;29;
～とは限らない;belum tentu;必ずしも KK/KS-i (biasa) / KS-na/KB だ ～とは限らない ※ bisa juga digunakan dengan いつも/全部/だれでも;dalam bahasa Indonesia bisa diartikan "belum tentu...", "tidak selalu...", "tidak pasti...";;;(お)金持ちが必ずしも幸福だとは限らない。;orang kaya itu belum tentu bahagia;高いものが必ずしもいいものだとは限らない。;barang mahal itu belum tentu bagus;海外に住んだからと言って、英語がペラペラになるとは限らない。;(hanya) karena tinggal di luar negeri belum tentu bisa pandai berbahasa inggris;5;5;29;
まるで～ようだ;ibarat, seakan-akan;まるで K. Kerja (biasa) / K. Benda の ようだ / まるで KK/KS-i (biasa) / KS-na/KB だ みたい;ungkapan untuk mengibaratkan suatu hal;;;合格した! まるで夢のようだ。;saya lulus. ibarat sebuah mimpi;彼の日本語はまるで日本人が話しているみたいに聞こえる。;bahasa jepang dia terdengar seakan-akan seperti orang jepang yang sedang berbicara;あなたの言うことはまるで理解できない。;apa yang kamu bilang sama sekali tidak bisa dimengerti;5;5;29;
だけど;tapi (kasual);～。だけど～;sering digunakan dalam bahasa kasual informal; mempunyai makna yang sama seperti 「けれども」「しかし」;旅行に行きたい。だけどひまがない。;saya ingin pergi traveling, tapi tidak ada waktu luang;よくカラオケに行く。だけど歌は下手だ。;saya sering pergi karaoke, tapi saya tidak pandai bernyanyi;私は毎日シャワーを浴びる。だけど今日は浴びない。;saya tiap hari mandi, tapi hari ini tidak mandi;5;6;30;
ですから;oleh karena itu;～。ですから、～;kata penghubung yang menerangkan alasan atau sebab dari kalimat sebelumnya;;;天気予報では午後から雨だそうです。ですから、傘を持っていったほうがいいですよ。;kalau menurut ramalan cuaca dari siang katanya akan hujan. oleh karena itu sebaiknya bawa payung;明日から旅行に行きます。ですから、来週のパーティーには出席できません。;besok saya akan pergi berwisata. oleh karena itu saya tidak bisa menghadiri pesta minggu depan;;5;6;30;
ところが;akan tetapi;～。ところが、～;sering digunakan dalam bahasa resmi formal; digunakan ketika hasil yang sebenarnya berbeda dari yang diharapkan;;;昨夜はコンサートに行くつもりだった。ところが、病気で行けなくなった。;kemarin malam saya bermaksud pergi ke konser. akan tetapi, karena sakit saya tidak bisa pergi;田中さんは私より若いと思っていた。ところが、私より5歳も年上だった。;saya kira tanaka-san lebih muda dari saya. akan tetapi ternyata dia lebih tua 5 tahun dari saya;;5;6;30;
ところで;ngomong-ngomong;～。ところで、～;digunakan untuk mengganti topik pembicaraan; umumnya banyak digunakan dalam situasi resmi formal;;;もうすぐ、今年も終わりですね。ところで、お正月はどうなさいますか。;sebentar lagi tahun ini akan selesai yah! ngomong-ngomong, tahun baru nanti apa yang akan kamu lakukan?;「明日、試験でしょ。がんばってね。ところで、来週の月曜日は空いてる?」;besok ujian kan?! semangat ya! ngomong-ngomong, senin minggu depan kamu ada waktu?;;5;6;30;
もし～たなら;seandainya;もし K. Kerja ～た (な) ら / K. Sifat-i ～かった (な) ら / K. Sifat-na ～だった (な) ら / K. Benda ～だった (な) ら;digunakan untuk menyatakan kondisi yang bersifat hipotetis (andaikan / seandainya);;;もし試験を受けていたなら、合格していたと思う。;seandainya saya ikut ujian, saya pikir saya lulus;もし彼が社長でなかったなら、会社はつぶれていたと思う。;kalau dia bukan direkturnya, saya pikir perusahaan ini akan hancur;もし留学しなかったなら、今ごろは国で結婚しているだろう。;seandainya saya tidak belajar ke luar negeri, mungkin saat ini saya sudah menikah di negara saya;6;1;31;
もし～としても;meskipun seandainya;もし KK/KS-i (biasa) としても / KS-na だ としても / KB だ としても / ～としたって;digunakan untuk menyatakan "meskipun seandainya...", "meskipun misalnya...";;;もし休みが取れたとしても、旅行には行かないつもりです。;meskipun misalnya saya bisa mengambil libur, saya tidak punya maksud untuk pergi wisata;もしお金がたくさんあったとしても、そんなものは買わない。;meskipun seandainya saya punya banyak uang, saya tidak akan membeli barang seperti itu;もし決勝戦に残ったとしたって、優勝は難しいでしょう。;meskipun bisa tersisa sampai final, mungkin akan sulit untuk juara;6;1;31;
もしも～なら/ても;seandainya (penekanan);もしも KK/KS-i (biasa) ～なら / もしも KK ～たら / KS-i ～かったら / もしも KK/KS-i (biasa) ～ても;memberikan penekanan pada kata 「もし」"seandainya";;;もしも生まれ変われるなら、男になりたい。;seandainya saya terlahir kembali, saya ingin jadi laki-laki;もしも地震が起きても、この家、丈夫だから倒れないでしょう。;meskipun misalnya terjadi gempa bumi, rumah ini kuat, jadi mungkin tidak akan roboh;子供にもしものことがあったらどうしよう。;seandainya terjadi hal yang tidak-tidak dengan anak saya, bagaimana yah?!;6;1;31;
～ことになる;ditetapkan, diputuskan;K. Kerja る / K. Kerja ない ～ことになる;menjelaskan sesuatu yang telah ditetapkan bersama (bukan atas keinginan diri sendiri);;;明日、新しい企画についての会議が行われることになっている。;besok telah diputuskan akan diadakan rapat mengenai rencana baru;今度、大阪に転勤することになりました。;saya telah diputuskan nanti akan pindah ke kantor di osaka;;6;2;32;
～ことにする;(saya) memutuskan;K. Kerja る / K. Kerja ない ～ことにする;menjelaskan sesuatu yang diputuskan atas keinginan pembicara;;;毎朝、30分ジョギングすることにしています。;saya memutuskan untuk joging selama 30 menit setiap pagi;「あれ?買い物に行かないの?」「うん、明日行くことにした。」;eh kamu gak pergi belanja?! enggak, (saya putuskan) besok saja;;6;2;32;
ことは～が...;...nya sih...;K. Kerja る ことは KK る/～ます が/けど/けれど / K. Sifat-i い ことは KS-i い が/けど / K. Sifat-na な ことは KS-na だ が/けど;menyatakan pengakuan sekaligus penolakan (mengakui satu hal tapi ada catatan);;;ピアノは、弾けることは弾けますが、うまくありません。;kalau piano, bisanya sih bisa, tapi tidak jago;このバッグ、高いことは高いけれど、すごく使いやすいです。;tas ini, mahalnya sih mahal, tapi enak dipakai;明日は家にいることはいますが、仕事をしないといけないんです。;besok saya ada di rumah sih ada, tapi harus kerja (di rumah);6;2;32;
