dataset,week,day,text,raw_reading,cleaned_reading,file,peak_after,rms_after,clipped_samples,duration_sec,pipeline
senmon,,,下水道管,げすいどうかん,げすいどうかん,67-下水道管.wav,24200,9316.33,0,1.155,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,屋内,おくない,おくない,67-屋内.wav,24200,7966.01,0,0.753,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,通気管,つうきかん,つうきかん,67-通気管.wav,24200,5867.15,0,0.979,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,阻集器,そしゅうき,そしゅうき,67-阻集器.wav,24200,6465.54,0,0.951,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,排水桝,はいすいます,はいすいます,67-排水桝.wav,24200,7878.53,0,1.205,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,埋設排水管,まいせつはいすいかん,まいせつはいすいかん,67-埋設排水管.wav,24200,9343.32,0,1.688,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,側溝,そこう,そこう,67-側溝.wav,24200,5910.38,0,0.748,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,整備,せいび,せいび,67-整備.wav,24200,7605.79,0,0.788,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,地域,ちいき,ちいき,67-地域.wav,24200,6101.61,0,0.814,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,合流方式,ごうりゅうほうしき,ごうりゅうほうしき,67-合流方式.wav,24200,9892.48,0,1.354,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,分流方式,ぶんりゅうほうしき,ぶんりゅうほうしき,67-分流方式.wav,24200,9974.25,0,1.311,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,臭い,くさい,くさい,67-臭い.wav,24200,4151.92,0,0.741,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,害虫,がいちゅう,がいちゅう,67-害虫.wav,24200,7388.31,0,0.880,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,侵入,しんにゅう,しんにゅう,67-侵入.wav,24200,7859.82,0,0.947,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,混入,こんにゅう,こんにゅう,67-混入.wav,24200,8689.82,0,0.926,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,防止する,ぼうしする,ぼうしする,67-防止する.wav,24200,8072.16,0,1.019,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,阻害,そがい,そがい,67-阻害.wav,24200,6777.22,0,0.743,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,維持管理,いじかんり,いじかんり,67-維持管理.wav,24200,7742.22,0,0.931,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,補修,ほしゅ,ほしゅ,67-補修.wav,24200,3459.48,0,0.676,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,洗面器,せんめんき,せんめんき,67-洗面器.wav,24200,8889.29,0,1.027,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,横引き管,よこびきかん,よこびきかん,67-横引き管.wav,24200,7951.09,0,1.117,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,立て管,たてかん,たてかん,67-立て管.wav,24200,6353.50,0,0.823,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,通気管,つうきかん,つうきかん,67-通気管.wav,24200,5867.15,0,0.979,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,床排水,ゆかはいすい,ゆかはいすい,67-床排水.wav,24200,7570.82,0,1.114,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,公共下水道,こうきょうげすいどう,こうきょうげすいどう,67-公共下水道.wav,24200,10329.31,0,1.499,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,排水桝,はいすいます,はいすいます,67-排水桝.wav,24200,7878.53,0,1.205,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,地下排水層,ちかはいすいそう,ちかはいすいそう,67-地下排水層.wav,24200,7968.13,0,1.367,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,室内排水設備,しつないはいすいせつび,しつないはいすいせつび,71-室内排水設備.wav,24200,9093.25,0,1.770,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,系統,けいとう,けいとう,71-系統.wav,24200,8170.71,0,0.820,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,方式,ほうしき,ほうしき,71-方式.wav,24200,6042.03,0,0.944,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,重力式,じゅうりょくしき,じゅうりょくしき,71-重力式.wav,24200,8143.13,0,1.164,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,自然流下式,しぜんりゅうかしき,しぜんりゅうかしき,71-自然流下式.wav,24200,8615.66,0,1.497,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,低位排水,ていいはいすい,ていいはいすい,71-低位排水.wav,24200,8628.59,0,1.271,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,破封,はほう,はほう,71-破封.wav,24200,7301.40,0,0.747,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,悪臭封水,あくしゅうふうすい,あくしゅうふうすい,71-悪臭封水.wav,24200,7524.64,0,1.318,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,現象,げんしょう,げんしょう,71-現象.wav,24200,7945.59,0,0.912,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,椀トラップ,わんとらっぷ,わんとらっぷ,71-椀トラップ.wav,24200,8347.73,0,1.159,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,お椀型,おわんがた,おわんがた,71-お椀型.wav,24200,10205.75,0,0.929,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,蒸発,じょうはつ,じょうはつ,71-蒸発.wav,24200,7548.18,0,0.981,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,封水,ふうすい,ふうすい,71-封水.wav,24200,6914.44,0,0.824,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,缶,かん,かん,71-缶.wav,24200,4518.61,0,0.611,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,物質,ぶっしつ,ぶっしつ,73-物質.wav,24200,5312.18,0,0.853,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,除去,じょきょ,じょきょ,73-除去.wav,24200,6185.95,0,0.676,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,有害,ゆうがい,ゆうがい,73-有害.wav,24200,8086.87,0,0.784,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,油脂,ゆし,ゆし,73-油脂.wav,24200,5791.21,0,0.688,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,缶詰まり,かんづまり,かんづまり,73-缶詰まり.wav,24200,8624.86,0,1.008,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,溜まった,たまった,たまった,73-溜まった.wav,24200,6976.76,0,0.886,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,細菌,さいきん,さいきん,73-細菌.wav,24200,6746.40,0,0.845,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,繫殖,はんしょく,はんしょく,73-繫殖.wav,24200,6293.42,0,0.927,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,温湯源,おんとうげん,おんとうげん,73-温湯源.wav,24200,9403.08,0,0.982,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,水面,すいめん,すいめん,73-水面.wav,24200,6905.23,0,0.825,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,浮上,ふじょう,ふじょう,73-浮上.wav,24200,6150.31,0,0.748,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,捕獲,ほかく,ほかく,73-捕獲.wav,24200,5055.32,0,0.811,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,受けかご,うけかご,うけかご,73-受けかご.wav,24200,7527.71,0,0.884,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,スライド板,スライドいた,スライドいた,73-スライド板.wav,24200,9051.64,0,1.121,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,無害,むがい,むがい,73-無害.wav,24200,6646.01,0,0.660,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,公共下水,こうきょうげすい,こうきょうげすい,73-公共下水.wav,24200,10023.75,0,1.246,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,真空式温水ヒーター,しんくうしきおんすいひーた,しんくうしきおんすいひーた,75-真空式温水ヒーター.wav,24200,9875.86,0,1.984,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,燃焼室,ねんしょうしつ,ねんしょうしつ,75-燃焼室.wav,24200,8342.61,0,1.237,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,減圧蒸気室,げんあつじょうきしつ,げんあつじょうきしつ,75-減圧蒸気室.wav,24200,9821.46,0,1.696,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,熱媒水,ねつばいすい,ねつばいすい,75-熱媒水.wav,24200,8140.79,0,1.107,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,熱交換器,ねつこうかんき,ねつこうかんき,75-熱交換器.wav,24200,8077.42,0,1.200,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,缶体,かんたい,かんたい,75-缶体.wav,24200,6591.44,0,0.863,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,真空,しんくう,しんくう,75-真空.wav,24200,5787.73,0,0.889,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,沸騰,ふっとう,ふっとう,75-沸騰.wav,24200,4504.39,0,0.821,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,蒸気,じょうき,じょうき,75-蒸気.wav,24200,6153.45,0,0.812,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,凝縮,ぎょうしゅく,ぎょうしゅく,75-凝縮.wav,24200,7347.54,0,0.992,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,無圧開放式温水ヒーター,むあつかいほうしきおんすいひーた,むあつかいほうしきおんすいひーた,75-無圧開放式温水ヒーター.wav,24200,10227.87,0,2.302,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,大気中,たいきちゅう,たいきちゅう,75-大気中.wav,24200,7157.09,0,0.953,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,解放,かいほう,かいほう,75-解放.wav,24200,7341.30,0,0.853,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,介して,かいして,かいして,75-介して.wav,24200,7135.30,0,0.852,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,取り出し温水,とりだしおんすい,とりだしおんすい,75-取り出し温水.wav,24200,9644.55,0,1.288,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,維持管理,いじかんり,いじかんり,75-維持管理.wav,24200,7742.22,0,0.931,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,保守契約,ほしゅけいやく,ほしゅけいやく,75-保守契約.wav,24200,7311.41,0,1.210,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,減圧蒸気室,げんあつじょうきしつ,げんあつじょうきしつ,75-減圧蒸気室.wav,24200,9821.46,0,1.696,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,都市ガス,としがす,としがす,75-都市ガス.wav,24200,6178.18,0,0.982,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,燃焼排ガス,ねんしょうはいがす,ねんしょうはいがす,75-燃焼排ガス.wav,24200,10324.02,0,1.528,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,真空式温水ヒーター,しんくうしきおんすいひーた,しんくうしきおんすいひーた,75-真空式温水ヒーター.wav,24200,9875.86,0,1.984,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,開放タンク,かいほうたんく,かいほうたんく,75-開放タンク.wav,24200,9308.65,0,1.247,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,熱媒ポンプ,ねつばいぽんぷ,ねつばいぽんぷ,75-熱媒ポンプ.wav,24200,9611.64,0,1.305,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,煙室,えんしつ,えんしつ,75-煙室.wav,24200,6715.64,0,0.890,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,吸収式冷温水発生機,きゅうしゅうしきれいおんすいはっせいき,きゅうしゅうしきれいおんすいはっせいき,77-吸収式冷温水発生機.wav,24200,9717.74,0,2.517,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,百貨店,ひゃっかてん,ひゃっかてん,77-百貨店.wav,24200,6048.43,0,0.976,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,空調時間,くうちょうじかん,くうちょうじかん,77-空調時間.wav,24200,9163.58,0,1.363,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,発揮,はっき,はっき,77-発揮.wav,24200,3573.75,0,0.819,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,冷暖房措置,れいだんぼうそち,れいだんぼうそち,77-冷暖房措置.wav,24200,11046.50,0,1.397,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,メジャーな方式,メジャーなほうしき,メジャーなほうしき,77-メジャーな方式.wav,24200,9983.08,0,1.481,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,気化熱,きかねつ,きかねつ,77-気化熱.wav,24200,5666.84,0,0.955,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,吸収液,きゅうしゅうえき,きゅうしゅうえき,77-吸収液.wav,24200,9032.17,0,1.109,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,臭化,しゅうか,しゅうか,77-臭化.wav,24200,6883.02,0,0.828,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,フロン,フロン,フロン,77-フロン.wav,24200,8671.58,0,0.660,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,目処に,もどに,もどに,77-目処に.wav,24200,8308.24,0,0.762,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,オーパーホール,オーパーホール,オーパーホール,77-オーパーホール.wav,24200,9139.06,0,1.082,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,水蒸器,すいじょうき,すいじょうき,77-水蒸器.wav,24200,8311.37,0,0.990,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,機内圧力,きないあつりょく,きないあつりょく,77-機内圧力.wav,24200,9229.59,0,1.360,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,臭化リチウム溶液,しゅうかりちうむようえき,しゅうかりちうむようえき,77-臭化リチウム溶液.wav,24200,10582.18,0,1.790,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,ガス吸収式冷温水発生機,ガスきゅうしゅうしきれいおんすいはっせいき,ガスきゅうしゅうしきれいおんすいはっせいき,77-ガス吸収式冷温水発生機.wav,24200,9701.34,0,2.799,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,通る,とおる,とおる,77-通る.wav,24200,7417.97,0,0.661,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,再生,さいせい,さいせい,77-再生.wav,24200,6457.04,0,0.878,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,薄い,うすい,うすい,77-薄い.wav,24200,5575.83,0,0.693,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,加熱,かねつ,かねつ,77-加熱.wav,24200,6424.21,0,0.874,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,水分,すいぶん,すいぶん,77-水分.wav,24200,7216.16,0,0.822,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,蒸発,じょうはつ,じょうはつ,77-蒸発.wav,24200,7548.18,0,0.981,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,濃縮,のうしゅく,のうしゅく,77-濃縮.wav,24200,6929.48,0,0.956,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,濃い,こい,こい,77-濃い.wav,24200,6262.10,0,0.591,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,吸収液,きゅうしゅうえき,きゅうしゅうえき,77-吸収液.wav,24200,9032.17,0,1.109,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,冷却水,れいきゃくすい,れいきゃくすい,77-冷却水.wav,24200,8745.21,0,1.105,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,冷却塔,れいきゃくとう,れいきゃくとう,77-冷却塔.wav,24200,9458.30,0,1.074,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,空調機,くうちょうき,くうちょうき,77-空調機.wav,24200,7764.12,0,1.070,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,室内機,しつないき,しつないき,77-室内機.wav,24200,6932.01,0,1.001,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,凝縮,ぎょうしゅく,ぎょうしゅく,77-凝縮.wav,24200,7347.54,0,0.992,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,繰り返す,くりかえす,くりかえす,77-繰り返す.wav,24200,7026.61,0,1.107,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,冷房,れいぼう,れいぼう,77-冷房.wav,24200,9335.34,0,0.811,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,吸収,きゅうしゅう,きゅうしゅう,77-吸収.wav,24200,8095.50,0,0.832,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,冷水,れいすい,れいすい,77-冷水.wav,24200,8345.62,0,0.825,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,真空,しんくう,しんくう,77-真空.wav,24200,5787.73,0,0.889,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,冷凍,れいとう,れいとう,77-冷凍.wav,24200,9184.79,0,0.786,ffmpeg: gain + limiter + loudnorm + resample to 48k
